age,gender,occupation,city,monthly_income,income_source,savings_rate,debt,housing_expense,food_expense,transport_expense,entertainment_expense,shopping_expense,healthcare_expense,credit_card_usage,investment,emergency_fund,financial_stress,financial_health_score,cluster,risk_profile
39,Male,Freelancer,Suburban,1838.09195161364,Freelance,0.3525947865147691,16974.033664337745,615.0063235725494,251.6135395515688,103.20482342325552,124.10875573913842,156.5251993626594,133.60700679775,High,No,No,Low,11.982523627035674,0,Moderate
63,Male,Employee,Urban,2120.258853749882,Salary,0.2999264806382818,6173.596465759438,602.7288170625144,211.88381070052228,183.94009705256192,141.42741781058493,77.34101190645033,147.9225428315077,Medium,No,Yes,High,15.241101372416148,2,Conservative
55,Male,Employee,Rural,2241.6291908656667,Salary,0.2266994355087436,12100.266552977964,811.4396692939255,251.59658027348928,195.94220274461733,200.59717211958613,143.46620191212793,52.83749396168503,Medium,No,Yes,High,6.712623395428228,2,Conservative
49,Female,Freelancer,Urban,2209.439557870482,Salary,0.0,793.5617789525763,562.361586542375,253.80197395529373,165.07879498902938,248.25843151540653,124.02482962947352,51.68489556893025,Medium,Yes,Yes,High,5.076120562007819,2,Conservative
28,Male,Employee,Suburban,1767.891179968697,Salary,0.1622112836473325,3607.481983877273,635.9627945143475,179.25214410383165,155.29009182646223,197.4648099423755,131.33068915266048,127.10975552752409,Medium,Yes,Yes,Medium,34.10664989254752,2,Conservative
28,Female,Freelancer,Suburban,1684.525953799666,Freelance,0.1661736740777047,1087.7932314901293,647.3518616091523,227.12906961085972,104.75102203328088,169.55702804197168,114.53805536079425,59.811215232838144,Low,No,No,High,0.0,2,Conservative
21,Male,Unemployed,Rural,2102.769714974785,Business,0.2358800826022242,1210.610931131781,804.0820658010059,260.06866955812137,105.5031826772942,130.0679421443385,114.11297062482215,86.48049447616026,Medium,Yes,Yes,Medium,21.51594259744512,2,Conservative
60,Female,Student,Urban,1071.979219322007,Salary,0.1802533224407075,4766.860521650536,392.1847770860661,139.86088564256664,55.34875122151194,71.0392090486397,40.08920803221451,65.05340279516402,Low,Yes,No,High,14.357572408568824,2,Conservative
49,Female,Freelancer,Suburban,917.0865513130162,Freelance,0.1436801074915803,3564.5862008235267,357.8559889987299,76.87028041612842,71.4592450414069,87.51846213060035,36.264756951883214,54.818934123805775,Low,Yes,Yes,Medium,27.42586459128812,2,Conservative
54,Female,Employee,Urban,2563.2409809890705,Freelance,0.40300099448435,3968.843571187851,912.7679002778603,352.1023619746411,134.7086763917956,236.68178851767183,199.13899918645745,159.57745488653046,High,No,No,Medium,24.846531312192152,2,Conservative
19,Female,Employee,Urban,2584.707007346706,Freelance,0.3308177187580716,848.843577649272,912.4253751929206,250.26868913405443,236.43203043236545,291.14965255861006,166.74624146503095,65.25260154641542,High,Yes,No,Medium,19.807533013891916,2,Conservative
63,Female,Student,Rural,3788.404715329904,Salary,0.0,3386.6337909939134,961.9860745649268,327.41840664442475,324.61325563329524,383.7662920286989,322.78160351497314,212.13108978080191,High,Yes,Yes,Medium,21.05313473393975,1,Aggressive
58,Female,Student,Rural,2147.8386680301883,Salary,0.1718912618481478,4220.48849910892,593.0788131482665,271.2144423584822,201.4256382578972,253.60162186778325,203.54094541974897,104.8787315431668,Medium,No,Yes,Medium,18.06432662321081,2,Conservative
31,Male,Employee,Suburban,1343.7055247210749,Freelance,0.2630922852706151,1517.470573889029,493.4278886229918,128.00005564507555,113.45440347815222,67.10108695423025,103.76715580688412,91.80257106551558,Low,Yes,Yes,Low,35.86425322305938,2,Conservative
29,Female,Employee,Urban,925.3542085728626,Business,0.3330906715011905,2271.2015922602463,369.7950551785444,100.35977675077356,49.132870414282685,104.59711042186072,86.842098062488,27.050872576131106,Low,No,No,Low,16.16641532240001,2,Conservative
29,Male,Business,Rural,1563.8436718064518,Salary,0.1580023241902471,575.1931505504381,559.8401244209074,202.6019132970762,103.21309163598958,184.00899510298703,49.93593120219669,97.27224132249506,Low,No,No,Medium,1.5338592565093272,2,Conservative
36,Male,Freelancer,Urban,3014.7128737181915,Salary,0.1784629569744505,345.2552973875761,1015.881208903825,262.8410183047942,204.539828969972,336.0519389530023,203.85476170559133,198.36985020373737,Medium,No,No,Medium,7.449645031465428,2,Conservative
46,Male,Unemployed,Urban,5017.687512666678,Salary,0.209478447046662,22210.48774920158,1392.4729668604457,446.28016154006906,396.5038748366584,214.2770084450717,244.31721475197529,397.6309838239564,Low,No,Yes,Medium,21.58724483192524,1,Aggressive
42,Male,Employee,Suburban,2507.502975275053,Salary,0.2661847470172593,3658.601469755904,983.40970074842,317.3068503228183,246.0850841864792,287.6798356850889,109.75542491117592,142.39705283401128,Medium,Yes,No,Low,13.021782535722288,2,Conservative
35,Male,Employee,Urban,1330.3602574921902,Salary,0.0464463113468155,2081.996993508724,462.2468722876296,148.29977280682525,117.72866048530038,130.6426851637916,66.01534670397083,47.2401854947972,Low,No,No,Low,0.0,2,Conservative
50,Male,Employee,Rural,1571.8989641391045,Salary,0.0,6622.544130949735,508.2825636693544,150.0918031271711,98.41088032036824,98.3332052547393,137.32527482825213,111.3092489835504,Medium,Yes,No,Medium,8.38171446348578,2,Conservative
27,Male,Employee,Urban,1596.624573070356,Salary,0.3254550320622511,1248.7391491385993,605.4528992848252,185.37650489862955,87.6136113611049,113.3298304962297,118.29900760175111,108.2339529213524,High,No,Yes,Medium,30.30529874063303,2,Conservative
35,Female,Employee,Urban,1992.2216443874845,Salary,0.1009925241203306,3328.093532633736,782.9277844059272,245.6484792872403,188.96883281371584,71.41505110061887,168.14092998384584,44.174831424146106,Low,Yes,Yes,Low,23.010105467297063,2,Conservative
39,Male,Freelancer,Suburban,4274.608133527356,Salary,0.4122659551969576,9011.445476450192,1306.65247224888,463.1744378126779,337.426143619905,286.8967294343564,277.7985398278186,279.72739811123574,Medium,No,No,Medium,10.741863876336463,1,Aggressive
43,Female,Employee,Suburban,4444.642534718949,Salary,0.113642739711334,990.2272582529516,1455.0327620755436,409.3754679672841,254.51321238963848,232.27966894451507,216.47849693470124,272.995954264844,Low,Yes,No,Low,14.306924950844172,1,Aggressive
57,Male,Employee,Urban,2239.195777793792,Salary,0.1815042249651082,1822.561636258068,598.4593191525835,280.62982353962906,205.6038976416462,212.15181496770649,140.56018546957128,77.07493287390315,Medium,No,Yes,Medium,18.287771539525632,2,Conservative
30,Female,Student,Urban,2674.546347040728,Salary,0.2368599774410925,749.3731688404474,1053.7130954476154,236.6558672700549,218.30683359127963,216.2177143177774,120.4518477041688,148.13061950489265,Low,Yes,No,Medium,18.161746877386,2,Conservative
46,Female,Student,Suburban,1637.9832747135033,Salary,0.0,6872.072032303875,439.14558177041073,205.97225529519463,154.75793118878198,186.8331832877136,162.8169753952828,84.4728668719885,Low,Yes,Yes,Medium,19.11117140680969,2,Conservative
49,Female,Employee,Urban,1037.9945132475118,Salary,0.4864391265719847,3660.575141875302,404.147512448956,102.7186534258512,91.41340170918347,88.96568842493484,87.31162700317276,37.31341927105792,High,Yes,Yes,Low,43.0514321507191,2,Conservative
21,Female,Student,Urban,5968.012143983885,Freelance,0.1605003156367999,9620.861299750948,1663.018579775133,478.0237516165141,453.90092676720457,596.8576967013163,205.10601637433965,285.5891558483804,Low,Yes,Yes,Medium,26.66549789542872,1,Aggressive
50,Male,Business,Suburban,764.1441693509543,Business,0.1161488150420839,6924.518161425976,295.2013129365224,86.04758738304716,59.74855086093741,78.81514985757511,76.30412113220683,24.167582206493154,Low,No,No,High,0.0,2,Conservative
28,Female,Student,Urban,974.6513732590058,Salary,0.0833632500504759,2295.2168795770904,309.7889783279506,99.12035093200072,74.23392445054192,35.144629426144064,39.46091025377785,28.77706319491356,Low,No,Yes,Low,10.078684851807264,2,Conservative
22,Female,Freelancer,Rural,5992.134236581147,Salary,0.2361753480440198,4495.265985712228,2030.194024838161,575.5959967496696,315.9848920840588,622.4098453625307,455.8246343157826,457.588999944504,Medium,Yes,Yes,Medium,23.060260976715668,1,Aggressive
63,Female,Employee,Suburban,2460.962228724454,Salary,0.2290854365057468,4543.57482984247,628.389529831857,282.75111509350984,238.06225172465463,110.11523202817014,139.154578025369,133.95882778499595,Medium,Yes,No,Medium,9.40258654327371,2,Conservative
63,Female,Student,Rural,1389.977093449171,Freelance,0.0867370213633566,6207.146278871181,429.72255314152,143.95188025136173,138.13750874921192,69.24706702416796,94.59453478314656,95.44769314828598,Medium,Yes,No,Low,18.02111130035511,2,Conservative
58,Male,Business,Urban,3433.556266887092,Salary,0.0628058373963357,12918.502524421026,1112.5031653744943,345.5921886050825,223.93647531866097,258.0548231950693,274.6839942700671,138.40222954111525,Low,No,No,High,0.0,0,Moderate
36,Female,Employee,Rural,3592.223514128284,Freelance,0.3055256273000204,1001.7669901009018,903.1363309539624,479.1330031200614,326.78896344114327,258.4367955038454,183.7893101486252,144.8304793027184,Low,No,Yes,Medium,26.92324116388477,1,Aggressive
24,Male,Employee,Urban,1253.4526935868032,Freelance,0.1344292576600546,456.54193140764494,437.6160511072141,107.56098664610124,125.1915598962926,145.20087284170344,46.58232798551644,62.69194300284233,Medium,Yes,Yes,Medium,31.09120568408952,2,Conservative
53,Female,Business,Urban,1869.7823482513747,Business,0.0278983729388616,1041.872620461529,702.7283519822214,201.65750462980333,95.30380691414084,131.1936603053991,142.08391507732426,133.38773664129116,High,Yes,No,High,0.0,2,Conservative
42,Male,Student,Urban,3782.433754595103,Multiple,0.1852078238911419,4782.800958059233,959.6677494353216,367.9497794798448,250.07882994572165,256.6602525460604,120.24003078560972,291.03516165434405,Medium,Yes,No,Medium,25.97729530690472,2,Conservative
25,Female,Employee,Urban,1622.2139431585008,Multiple,0.1598273747544836,4508.675327038382,525.4032045258078,162.18045214541075,127.3408008536895,168.46982859173582,74.20796591652005,37.09301508548915,Medium,No,No,Medium,14.242489569812028,2,Conservative
45,Male,Business,Urban,2810.3993489858067,Salary,0.3950029922700278,1687.8103342880063,716.8196273291761,311.7572769526428,195.94347548632103,158.61860148688856,86.020975901974,135.01377920457165,Medium,Yes,Yes,Low,46.19577129243292,2,Conservative
20,Male,Freelancer,Suburban,4976.121708298677,Business,0.1477815217515691,2271.5731195112303,1895.8729516558387,719.4811738264733,489.6055030573965,507.1503821369783,405.4040425299376,360.9384400443799,Medium,Yes,No,Medium,25.942525274024995,1,Aggressive
61,Female,Employee,Urban,737.8625674043246,Salary,0.1691773973723019,1294.2711834934348,202.2646219225408,93.07730046068146,43.96921418028608,38.43557928547061,67.72163896283736,38.99844207963999,High,No,No,High,5.847619683308976,2,Conservative
33,Female,Student,Urban,2057.765244862086,Salary,0.2219456185177198,2678.214862831633,532.5058397275078,192.43751908689623,143.32588192192162,136.77455875418497,108.50435075428749,96.79613084168952,Medium,No,Yes,Medium,26.322265812358555,2,Conservative
